기본사항,,,,반제품,,,,,,,,
국문제품명,키스바이 로즈마인 프래그런스 오일워시- 글래머 센슈얼리티,,,3,P         H,5.80 ± 1.0 (25℃),,EV-F-1006(0),,T  E  S  T  S,S P E C I F I C A T I O N S,RESULT
3,MOL-0002,21.000000,,,,,,,,EV-F-1018,아민가 시험,
4,MSM-0003,12.000000,,,,,,,,EV-F-1019,에스텔가 시험,
5,MKG-0001,4.000000,,,,,,,,EV-F-1020,굴절률 시험,
6,MSM-0011,1.800000,,,,,,,,EV-F-1021,강열감량 시험,
7,MFS-0093,1.000000,,,,,,,,EV-F-1022,강열잔분 시험,
8,MPS-0003,0.400000,,,,,,,,EV-F-1023,건조감량 시험,
9,MXE-0001,0.200000,,,,,,,,EV-F-1024,건조잔분 시험,
10,MXN-0003,0.200000,,,,,,,,EV-F-1025,융점 시험,
11,MXC-0001,0.100000,,,,,,,,EV-F-1026,물가용물 시험,
12,MPL-0001,0.080000,,,,,,,,EV-F-1027,비점측정 및 증류시험,
13,MOR-0001,0.010000,,,,,,,,EV-F-1028,산가용물 시험,
14,MOA-0008,0.010000,,,,,,,,EV-F-1029,산부용물 시험,
15,MAR-0006,0.010000,,,,,,,,EV-F-1030,수분시험,
16,MAJ-0004,0.010000,,,,,,,,EV-F-1031,알칼리용출 시험,
17,MAA-0002,0.010000,,,,,,,,EV-F-1032,알코올수 츨정 시험,
18,MAL-0020,0.010000,,,,,,,,EV-F-1033,양이온 계면활성제 정량 시험,
19,MAY-0005,0.010000,,,,,,,,EV-F-1034,음이온 계면활성제 정량 시험,
20,MAL-0019,0.010000,,,,,,,,EV-F-1035,내용량 시험,
21,MAM-0001,0.010000,,,,,,,,,,
22,MAC-0001,0.010000,,,,,,,,,,
23,MAT-0009,0.010000,,,,,,,,,,
24,MAP-0011,0.010000,,,,,,,,,,
25,MAH-0022,0.010000,,,,,,,,,,
26,MAL-0018,0.010000,,,,,,,,,,
27,MAH-0018,0.010000,,,,,,,,,,
28,MXD-0001,0.010000,,,,,,,,,,
29,MUM-0001,0.005000,,,,,,,,,,
30,MCR-0005,0.000090,,,,,,,,,,
31,MCF-0001,0.000005,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
